geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
che,Switzerland,,,,,,65422.11,65434.13264,67279.45258,69646.41101,71111.47341,73635.30865,72548.85064,71793.2983,74405.38371,75306.12444,77954.17644,79702.41753,76710.24157,72193.19741,76193.64193,81164.26231,78286.25546,79374.21862,79053.77187,78331.2931,79881.89515,78305.9773,77292.43325,77089.63289,77531.45337,73848.82751,78091.80868,81469.28348,79625.10988,
chl,Chile,9020.45099,9554.1803,10383.73166,10856.35939,11367.38027,12628.35824,12816.16071,13495.74271,13808.73795,13579.0078,14040.15794,14167.18376,14402.01458,15067.35544,16307.56213,17476.29751,19367.58474,20550.27725,19739.80995,19923.58391,21980.86109,22504.47978,23936.77251,24546.96429,24539.62241,25120.50278,25403.29377,25654.94323,25955.86329,25663.00599,23953.48196,27443.59126,27302.91213,27878.89844,28707.10357
chn,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20701.13363,,,
civ,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,2569.34875,2705.43718,2982.15119,2697.90525,2837.9127,3142.45231,4701.61836,4999.93782,5240.28264,5288.0098,5362.86451,5569.33297,5568.81179,5859.40175,6033.76438,6296.42254,6458.15101
cmr,Cameroon,3771.17174,3563.57005,3165.11336,3191.55305,3199.83346,3132.34,3080.85988,3262.08746,3293.92323,3408.39144,3455.46349,3417.54451,3460.12648,3683.35915,3902.51221,3958.30381,4076.81877,4069.56095,4056.75551,4128.61675,4136.18751,4153.78175,4250.05557,4388.67575,4488.48433,4573.31338,4644.05298,4673.6522,4752.23162,4753.99257,4594.07279,4715.73937,4799.08445,4773.74549,4880.20812
cod,"Congo, Dem. Rep.",,,,,1400.17826,1354.11026,1329.0918,1285.07211,1169.2335,1131.31891,1007.74343,953.24411,941.07658,1008.71655,1049.27955,1085.68437,1131.70072,1197.58968,1179.85413,1101.92546,1190.73601,1180.7239,1158.653,1176.29586,1202.0549,1208.28426,1195.0308,1245.27409,1236.54642,1145.8397,1118.24693,1355.13869,1344.40084,1293.82347,1537.98541
cog,"Congo, Rep.",6006.11724,6130.18461,6134.9757,5200.50546,5019.58716,2971.59328,3462.56925,3938.6324,3227.04372,2741.64208,5455.89994,5158.43344,5948.67389,4211.68724,6231.53713,7539.48801,8606.96956,7375.64007,9217.36075,7793.4314,10585.21188,10674.66815,12235.84688,11696.89226,11683.49581,9086.53775,7084.70903,6272.42207,7328.83249,6453.48763,5156.76905,5565.87747,6642.81652,5790.87923,5644.42921
col,Colombia,9236.88974,9343.30015,9324.7157,9520.88172,10262.87263,10601.9124,10569.40977,10749.49019,10507.51329,10058.16544,9972.39569,9798.53501,9897.74985,10057.47146,10535.211,10910.23153,11529.68478,12240.758,12826.46441,12863.66767,13505.57912,14486.88958,15070.19793,15778.47757,16289.87583,16329.7743,16445.11804,16564.1801,16742.24989,16989.23337,15464.44321,17225.96761,18314.82197,18386.71742,18648.16861
com,Comoros,3083.60877,2825.06506,2999.4093,3006.84433,2828.93294,2940.33851,2870.7054,2945.30001,2890.98926,2920.97137,2837.85491,2933.43015,2993.05275,2990.63172,3022.56861,3131.99317,3022.67188,3014.26074,3005.19308,3156.37051,3053.10807,3238.94667,3287.24444,3355.82881,3393.12005,3371.06955,3405.23579,3424.19536,3462.39942,3492.06784,3320.32223,3394.60132,3357.19211,3422.09276,3470.85067
cpv,Cape Verde,,,,,,,,,,,,,,,,,,6244.11932,6548.42193,6521.88961,6438.74798,6623.22633,6634.69239,6780.90085,6750.81945,6961.26441,7427.5635,7721.39679,8266.19993,8906.97005,7072.86619,7579.20243,8615.18786,8901.74358,9725.89089
cri,Costa Rica,,11973.92811,12866.66323,13615.88204,14111.32438,14289.5748,13840.78502,14352.5182,13918.01665,13700.02524,13666.16831,13878.00388,13996.00923,14341.09313,14662.31725,14966.41777,15829.28514,16735.53184,17085.97347,16990.478,17808.31148,18235.70266,19029.06482,19188.64974,19650.35081,20470.28531,21316.43983,21691.00496,21910.9313,22169.80006,21157.50654,22320.32879,22516.83682,23745.78715,24652.65375
cyp,Cyprus,27248.58789,27317.23633,28645.19336,28195.97461,29049.58984,29370.22852,29343.01367,29428.38477,33915.58203,32417.96094,32982.85156,34928.17188,35949.41406,37535.89062,38488.42969,39348.58984,40126.72656,41068.46484,43361.53125,42018.93359,41259.125,41777.05469,38502.84766,35779.39453,34730.375,36980.67578,38292.41406,40435.63281,42117.16406,43251.98047,40233.03906,43426.02344,45725.66797,46699.9375,47841.85938
cze,Czech Republic,,,,,,25337.09581,26740.22941,26693.2858,27260.86497,27518.56984,28252.64541,29386.10711,30226.3598,31358.25848,32568.25486,34151.00339,35212.79918,37087.25742,37516.48343,35589.96622,35660.37291,35760.45902,35996.52256,36296.25341,37321.30903,38855.84166,39933.20329,41958.82796,43192.67009,44401.35669,42810.53557,46397.18014,45261.41466,45394.17787,46352.64156
deu,Germany,38865.75286,40053.57007,40940.93705,40439.74028,41178.1709,45883.42476,46247.1123,46789.10482,47829.72518,48850.21288,49668.73708,50332.82782,50151.23149,50063.9153,51399.90119,51747.12637,53950.5452,55496.24727,55469.83507,53857.18853,55687.93102,58653.47585,58716.0701,58877.27404,59976.76296,60913.13798,62622.83968,63730.55567,64908.11951,65375.96195,62268.52628,64644.7585,64656.15936,65179.65148,65115.83432
dji,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,4378.00866,4592.42796,4854.72011,5029.20827,5135.64004,5283.69792,5618.94173,5593.25686,5854.10601,6144.47107,6511.81067,7243.82642
dma,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15823.12053,,,
dnk,Denmark,39647.20536,39896.91649,41076.6738,41113.40129,43152.96762,46668.08488,47875.02727,49294.80441,50339.51451,51736.88692,53135.10239,53829.05979,54147.39324,54500.19422,56632.85158,58752.40183,60855.92422,60570.65748,60915.7506,57318.48898,59219.14674,59524.30392,59594.77493,61000.48647,62162.23219,62935.4485,63869.84125,65280.22717,66331.64397,67314.64041,66980.28581,72467.54607,73500.17918,70178.86238,71584.7015
dom,Dominican Republic,6822.37144,7045.35458,7609.45625,7978.1444,8201.51401,8538.873,8901.42969,9616.90839,10194.7911,10518.40631,10666.64368,10886.69996,11099.18089,10496.26272,10611.5263,11533.43587,12432.2729,13219.09182,13269.10309,13653.46488,14507.50451,14493.37382,14751.38549,15146.23732,16039.90039,17504.8047,18635.36948,18977.3333,20039.69994,20828.58921,19178.84796,20958.23463,21983.59575,22794.44158,23475.95213
dza,Algeria,9771.9191,9503.37331,9136.34568,8472.89003,8185.42316,8182.84936,8622.80694,8793.64937,8465.93315,8902.94763,11301.33611,10868.23191,11035.85527,12065.05104,12930.26784,14480.69951,15610.65147,15945.82197,16587.11784,13952.52251,15594.22151,16082.6833,16491.46577,16032.31157,15880.3201,14597.59624,14613.86052,14747.82951,14946.87379,14652.41475,13002.56402,14213.30892,16253.34572,15961.87053,15873.68302
ecu,Ecuador,7821.70371,8135.35827,8405.30597,7603.48706,7793.03843,7793.46511,7941.20382,8161.64844,7927.83584,7277.02675,7892.28396,8085.07108,8610.74792,8817.32701,9144.13674,9759.99638,10347.85822,10648.76983,11636.62914,11037.14382,11509.92602,12559.81021,13022.76017,13750.86958,14141.6776,13407.53116,13191.81741,13888.37586,13787.76173,13558.99502,11915.70657,13289.0209,13879.15737,13953.33844,13942.54646
egy,Egypt,7447.15825,7868.07384,8313.61846,8328.53092,8351.55775,8553.48666,8709.18536,8971.24148,9045.71712,9506.60891,10010.36569,10329.38233,10286.0859,10460.97367,10784.70427,11066.50599,11854.76439,12381.43649,13041.02262,12848.09852,13075.43716,13245.41262,13050.68527,13131.16412,13096.23034,13434.48445,13708.70943,13841.45073,14205.90447,14527.5428,14859.21892,15124.15341,15840.47625,15982.44321,15804.97822
esp,Spain,30601.21667,31525.21112,31765.70291,31318.93528,31411.72403,32653.41102,33301.57567,34444.67712,36038.35844,37604.52105,39021.29441,40231.86396,41231.20439,42011.19728,42522.27824,43207.04876,44047.32053,44632.91033,43907.39317,42735.2253,42457.42497,41496.33485,40556.25861,40325.39867,41072.91614,42975.44325,44331.94691,45354.5727,46178.98894,46746.69977,41708.82919,44547.08907,45931.32245,47148.18976,48453.56723
est,Estonia,,,,,,,,,,,16803.78387,17973.27264,19606.36419,21472.60492,23318.05236,26245.24246,29254.02696,31770.91203,31281.44961,27699.37303,27671.07968,30228.35365,31850.83117,33454.96137,34946.36823,35866.26988,37277.09862,39190.48432,40953.37776,42543.10301,40401.52433,43275.74902,42946.05258,41134.41934,41321.14827
eth,Ethiopia,,,,,,,,,,,,,,,,,,,,,,1354.14444,1475.95212,1604.63434,1757.08186,1917.08408,2044.34215,2176.13639,2224.61187,2341.28392,2476.35493,2575.06831,2633.07198,2771.83554,3004.36234
fin,Finland,,,,,,38710.48588,39771.46081,42655.5014,45161.84443,47113.79094,49152.64191,50682.1352,51236.66327,51087.12566,53234.02427,53785.9692,55342.89662,57532.70171,57027.30709,52828.90735,54025.79725,54178.21982,52892.81633,52372.31129,52420.31575,52995.36725,53926.14764,55259.81901,56202.58889,56731.9107,56180.42349,57709.01627,57497.29487,55493.14008,55001.80559
fji,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9701.15241,,,
fra,France,38889.38287,39052.11347,39550.16261,39350.74826,40020.15828,40696.81861,41235.00764,42288.99053,43737.56334,45307.88524,46325.77514,46994.31135,46996.9898,47220.43825,48133.6465,48667.61693,49574.52889,50673.77453,50601.49424,49343.21157,49879.51336,50647.23701,50221.10817,50570.1708,50971.42175,51739.24148,52202.11713,52927.83857,53528.6251,54965.95449,50445.25123,54159.91149,54557.29517,54757.89793,55091.10834
fsm,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4409.98671,,,
gab,Gabon,10299.87519,10338.81635,9076.09926,8679.61576,8988.25316,8754.27738,9598.51238,9843.73849,9178.81468,9213.73509,10657.02817,9783.23349,10129.26306,9732.79471,9691.98755,11420.58491,10917.15223,11004.04149,11883.56536,9753.16274,11286.36656,13222.88836,14124.88086,13526.5781,13271.64765,12199.15976,11940.41671,12449.32087,16018.13403,16599.99968,14535.56574,17425.85442,19550.30216,17638.40415,18077.44954
gbr,UK,,,,,,,,,,39865.199,41659.08723,42801.26287,43755.2218,45044.65003,45879.71699,47051.96173,47056.49317,47810.9237,46866.23595,44853.66284,46098.24758,46134.17823,46048.81358,46364.08387,47776.09313,48633.06589,49172.0498,50793.88914,51153.614,52385.59549,46437.74302,51309.08344,52698.14883,51329.07042,52324.64698
geo,Georgia,,,,,,,,,,,,,,,,,,,,,11054.93833,11769.10806,12820.26867,13223.02678,14172.71969,14616.5378,14768.84789,15733.72585,16833.76979,17533.44525,16549.42566,17737.21598,19505.44325,21126.81525,23913.74894
gha,Ghana,,,,,,,,,,,,,,,,,3520.04423,3688.28882,3899.86446,4087.46877,4192.66737,4761.1818,4926.79356,5513.06792,5274.25097,5209.30008,5317.15496,5476.20696,5792.39681,6061.75069,6297.12688,6405.09192,6751.25443,6394.37752,6958.77504
gin,Guinea,,,,,,,,,,,,,,,,,2375.71017,2401.05683,2481.8432,2284.33206,2598.95019,2523.20234,2701.467,2618.03278,2713.02586,2741.44871,2865.8734,3356.27094,3434.8961,3554.53611,3607.2389,3587.62956,3511.05395,3493.42285,3671.5763
gmb,Gambia,,,,,,,,,,,,,,,2671.78473,2534.8981,2439.59617,2455.43466,2554.07604,2634.65981,2712.94092,2524.55316,2556.0752,2511.65621,2340.48485,2433.56758,2473.32562,2490.48413,2548.06221,2780.32751,2787.91956,2708.31498,2788.7168,2982.25876,3196.88298
gnb,Guinea-Bissau,,,,,,,,1705.91938,1395.6499,1612.72393,1680.83467,1711.24831,1840.69072,1769.89794,1835.17315,1794.55109,1769.96586,1818.32991,1937.60725,1815.5191,1982.19286,2072.79435,1891.25502,1921.94227,2007.77913,2276.93939,2321.65641,2456.2954,2242.01864,2418.54849,2432.91425,2545.21703,2553.11495,2655.05872,2789.92283
gnq,Equatorial Guinea,,,,,,,,,,,,,,,,15122.26813,30484.46741,33470.26642,41436.52057,24960.10316,22346.0356,28793.98042,30411.47724,27743.64331,25392.43127,19465.55978,16017.4953,15527.3862,15719.41634,13158.33293,11224.26139,12596.60731,12809.4961,12209.00774,11774.10572
grc,Greece,,,,,,,,,,,,,,,,,40166.69948,41232.95857,40813.83503,39372.67074,37092.6189,33032.84239,31182.92981,30540.56172,31346.93945,31791.34575,31938.18647,32344.25074,32569.79285,33391.10693,30615.22775,33291.82524,35351.50206,36948.19794,38018.3898
grd,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13944.10327,,,
gtm,Guatemala,6887.5201,7265.69255,7420.4334,7559.98036,7772.80299,7962.40398,7740.40111,8056.66749,8599.20021,8561.46609,8708.32126,8677.31706,8685.55314,8637.03785,8622.49988,8630.7026,8817.8086,9150.17506,9311.94123,9429.5992,9467.74057,9720.97899,9854.66416,9827.77698,10061.18078,10446.22064,10638.17118,10779.45928,10905.0278,11341.69912,11143.90992,11532.86221,11589.01358,12192.40726,12682.17386
guy,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18312.57429,,,
hnd,Honduras,,,,,,,,,,,4461.59111,4444.24212,4469.5991,4524.71988,4663.94929,4860.47415,5057.74368,5341.38908,5462.97472,5244.10565,5180.42181,5236.06082,5246.17764,5296.14698,5276.4479,5406.31741,5487.66539,5713.20019,5732.27866,5776.5808,5192.86401,5679.99817,5880.35367,6020.19471,6079.25633
